Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,SSLfinal
asesoresvelfit.com,0,0,"/media/datacredito.co/
",0,http,0,0,0,0,0,1,0,1,0,1,1,1
caixa.com.br.fgtsagendesaqueconta.com,0,0,/consulta8523211/principal.php,0,http,0,1,1,1,1,1,0,1,1,0,1,1
hissoulreason.com,0,0,"/js/homepage/home/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
unauthorizd.newebpage.com,0,0,"/webapps/66fbf/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
133.130.103.10,0,1,"/23/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
dj00.co.vu,1,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,1
133.130.103.10,0,1,"/21/logar/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
httpssicredi.esy.es,0,0,"/servico/sicredi/validarclientes/mobi/index.php
",0,http,0,2,2,1,0,1,1,1,1,0,1,1
gamesaty.ga,0,0,/wp-content///yh/en/,0,http,1,0,2,1,0,1,0,1,0,0,1,1
luxuryupgradepro.com,0,0,"/ymailNew/ymailNew/
",0,http,0,0,0,0,0,1,0,1,0,0,1,1
133.130.103.10,0,1,"/1/
",0,http,0,2,0,0,0,0,0,1,0,0,1,1
133.130.103.10,0,1,"/24/sicredi/psmlId/31/paneid/index.htm
",0,http,0,1,2,0,0,0,0,1,0,0,1,1
"smscaixaacesso.hol.es
",0,0,,0,http,0,0,0,1,0,1,0,1,1,0,1,1
133.130.103.10,0,1,"/7/SIIBC/siwinCtrl.php
",0,http,0,1,0,0,0,0,0,1,0,0,1,1
tinyurl.com,0,0,"/kjmmw57
",0,http,0,0,0,0,0,0,0,1,0,1,0,1
wrightlandscapes.org,0,0,"/no/T/Y1.html
",0,http,0,0,0,1,0,1,0,1,1,0,1,1
mautic.eto-cms.ru,0,0,"/themes/goldstar/mtbonline/newmandt/
",1,http,0,0,2,0,0,1,0,1,0,0,1,1
ginatringali.com,0,0,"//al/alibaba21012015/alibaba21012015/666/index.html
",0,http,1,0,2,1,1,1,0,1,1,0,1,1
staticmail.000webhostapp.com,0,0,"/
",0,https,0,0,0,0,0,0,0,1,0,0,0,2
umeda.com.br,0,0,"/bba/BOA/home/
",0,http,0,0,0,1,0,1,0,1,1,0,1,1
krishworldwide.com,0,0,"/BackUp/under/js/ayo1/index.html
",0,http,0,0,2,0,0,0,0,1,0,0,1,1
yahoo.co.in,0,0,/email_open_log_pic.php,0,http,0,2,1,0,0,0,0,1,0,0,2,1
www.avcc.ac.in,0,0,"/fonts/1/wropboxp/login.html
",0,http,0,1,0,0,0,1,0,1,0,0,1,1
craig-hallum.ga,0,0,"/sgg/1/login.htm
",1,http,0,0,0,1,0,1,0,1,1,0,1,1
www.verification-mobile-nab.com,0,0,"/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/
",1,https,0,0,1,1,1,1,0,1,1,0,1,1
verification-mobile-nab.com,0,0,"/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/
",1,http,0,0,1,1,1,1,0,1,1,0,1,1
www.justpiddlinboutique.com,0,0,"/win/image.htm
",0,http,0,2,0,2,0,1,0,1,0,0,1,1
vcsolutionscorp.com,0,0,"/Block/image.htm
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
almasur.com,0,0,"/wp-includes/pomo/docusign17/
",0,http,0,0,0,0,0,1,0,1,0,0,1,1
asesoresvelfit.com,0,0,"/media/cms/datacredito.co/
",0,http,0,0,0,0,0,1,0,1,0,1,1,1
getpeopleplus.com,0,0,"/EserviceMain/irs/ir/index.html
",0,https,0,0,2,0,0,1,0,1,0,0,1,2
taeamigo.com,0,0,"/EserviceMain/irs/ir/index.html
",0,https,0,0,0,0,0,1,0,1,0,0,1,2
elmundo-latino.com,0,0,"/ir/index.html
",1,https,0,0,0,1,1,1,0,1,1,0,1,1
sociopremiosedescontos.com,0,0,"/cadastro/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
"cartaopremiadosicoob.com
",0,0,,0,http,0,0,0,1,0,1,0,1,1,0,1,1
ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk,0,0,/0-009021--0203499083934.l3992389100283901233232400349902132443940090132/hotmail.login/client_id=00000002-0000-0ff1-ce00-000000000000&amp;/000-pc.domain/officelogin1.html,1,http,0,1,1,0,0,1,0,1,0,0,1,1
www.travrica.com,0,0,"/ntime/T/Y1.html
",0,http,0,2,0,0,0,1,0,1,0,0,1,1
system-tnc.esy.es,0,0,"/recovery-chekpoint-login.html
",1,http,0,2,2,1,0,1,0,1,1,0,1,1
sandralucashyde.org,0,0,"/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html
",0,http,0,1,1,0,0,1,0,1,0,0,1,1
alexanderpetricek.com,0,0,"/EserviceMain/irs/ir/index.html
",0,http,0,0,2,1,1,1,0,1,1,0,1,1
di15.co.vu,0,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,1
sicredisms.ignitiondomain.com,0,0,"/2017/validarclientes/mobi/index.php
",0,http,0,2,2,0,0,1,0,1,1,0,1,1
rajspaces.com,0,0,"/EserviceDLAcct/irs/ir/index.html
",0,https,0,0,2,0,0,1,0,1,0,0,1,1
fb-systemapps.esy.es,0,0,"/recovery-chekpoint-login.html
",1,http,0,2,2,1,0,1,0,1,1,0,1,1
signin-activitysupport.helpcenter-supportfraudsignin.com,0,0,"/mpp/signin/f341/
",1,https,0,0,1,1,1,1,0,1,1,0,1,1
www.citadelchurchjax.com,0,0,"/wp-admin/validateowa/owa/WebAdmin/Outlook%20Web%20App.htm
",0,http,0,2,1,0,0,1,0,1,0,1,1,1
pradochaui.com.br,0,0,"/criptografado1/index1.php
",0,http,0,2,0,1,0,1,0,1,1,0,1,1
simnokomun.lt,0,0,"/upload/omo/newgd2/newgd/moole/index.php
",0,http,0,0,2,1,1,1,0,1,0,0,1,1
di11.co.vu,0,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,1
www.alligator.site,0,0,"/wp-content/wall/gallary/fin/
",0,http,0,0,2,1,1,1,0,1,0,0,1,1
tinyurl.com,0,0,"/le5tcvf
",0,http,0,0,0,0,0,0,0,1,0,1,0,1
tinyurl.com,0,0,"/ll59xhm
",0,http,0,0,0,0,0,0,0,1,0,1,0,1
tr.im,0,0,"/1e0rQ
",0,https,0,0,0,1,0,1,0,1,0,1,2,2
www.gommetermiche.it,0,0,"/administrator/modules/auth.att.secure/login.htm
",0,https,0,1,1,0,0,1,0,1,0,0,1,1
indonesianwonderagate.com,0,0,/zee/validate.htm,0,http,0,1,1,2,0,2,0,1,0,1,1,1
tinyurl.com,0,0,"/ll59xhm
",0,http,0,0,0,0,0,0,0,1,0,1,0,1
consultafgts.esy.es,0,0,"/home
",0,http,0,0,0,1,0,1,0,1,1,0,1,1
www.ultrakoz.com,0,0,"/uploads/files/reloadedatt.net.html
",0,http,0,1,2,0,0,1,0,1,0,0,2,1
www.blackabba.com,0,0,"/sign-on/yahoo/Y1.html
",0,http,0,2,0,0,0,1,0,1,0,0,1,1
carretroller.com.br,0,0,"/sss/image.htm
",0,http,0,2,0,1,0,1,0,1,1,0,1,1
www.mamujutengahkab.go.id,0,0,"/terasconfig/www.att.net/
",0,https,0,1,2,0,0,0,0,1,0,0,2,2
sandralucashyde.org,0,0,"/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html
",0,http,0,1,1,0,0,1,0,1,0,0,1,1
extratoinativos.com,0,0,"/Inativos/
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
consultar-fgts.com,0,0,"/1index.php
",1,http,0,0,0,1,1,1,0,1,1,0,1,1
portal-consultafgts.com,0,0,"/caixa.gov.br/pages/inter/index.php
",1,http,0,1,2,1,1,1,0,1,1,0,1,1
ni1232966-3.web20.nitrado.hosting,0,0,"/finance/fnce/
",1,http,0,2,2,1,1,1,0,1,0,0,2,1
fgtsliberacao.com,0,0,"/processa.php
",0,http,0,0,0,1,1,1,0,1,1,0,1,1
jokextreme.com,0,0,"/irs.return/Payment%20Lookup.html
",0,https,0,2,2,1,1,1,0,1,1,0,1,1
fb-safetyhelp.esy.es,0,0,"/recovery-chekpoint-login.html
",1,http,0,2,2,1,0,1,0,1,1,0,1,1
fb-securitypolicy101inc.esy.es,0,0,"/recovery-chekpoint-login.html
",1,http,0,2,2,1,0,1,0,1,1,0,1,1
